"table","variable","n_total","n_na","pct_na","statut"
"individus","id_individu",1200,0,0,"OK"
"individus","age",1200,0,0,"OK"
"individus","genre",1200,0,0,"OK"
"individus","niveau_etudes",1200,117,9.75,"Faible"
"individus","langue_domicile",1200,21,1.75,"Faible"
"individus","region",1200,0,0,"OK"
"individus","departement",1200,136,11.33,"Faible"
"individus","milieu",1200,0,0,"OK"
"individus","commune",1200,87,7.25,"Faible"
"individus","arrondismt",1200,72,6,"Faible"
"individus","statut_emploi_principal",1200,1,0.08,"Faible"
"individus","activite_principale",1200,178,14.83,"Faible"
"individus","activite_secondaire",1200,1134,94.5,"Critique"
"individus","privation_revenus",1200,1,0.08,"Faible"
"individus","activite_principale_isic_section",1200,644,53.67,"Critique"
"individus","activite_principale_isic_libelle",1200,272,22.67,"Alerte"
"individus","activite_secondaire_isic_section",1200,1151,95.92,"Critique"
"individus","activite_secondaire_isic_libelle",1200,1134,94.5,"Critique"
"individus","radio",1200,6,0.5,"Faible"
"individus","television",1200,2,0.17,"Faible"
"individus","vehicule",1200,1,0.08,"Faible"
"individus","ordinateur",1200,5,0.42,"Faible"
"individus","telephone",1200,1,0.08,"Faible"
"individus","internet",1200,110,9.17,"Faible"
"individus","score_actifs",1200,119,9.92,"Faible"
"individus","source_eau",1200,30,2.5,"Faible"
"individus","assainissement",1200,1,0.08,"Faible"
"individus","electricite_acces",1200,1,0.08,"Faible"
"individus","electricite_freq",1200,330,27.5,"Alerte"
"individus","round_afrobarometer",1200,0,0,"OK"
"individus","annee_enquete",1200,0,0,"OK"
"individus","pays",1200,0,0,"OK"
"menages","id_individu",1200,0,0,"OK"
"menages","rep_age",1200,0,0,"OK"
"menages","rep_genre",1200,0,0,"OK"
"menages","rep_niveau_etudes",1200,117,9.75,"Faible"
"menages","rep_langue_domicile",1200,21,1.75,"Faible"
"menages","region",1200,0,0,"OK"
"menages","departement",1200,136,11.33,"Faible"
"menages","milieu",1200,0,0,"OK"
"menages","commune",1200,87,7.25,"Faible"
"menages","arrondismt",1200,72,6,"Faible"
"menages","source_eau",1200,30,2.5,"Faible"
"menages","assainissement",1200,1,0.08,"Faible"
"menages","electricite_acces",1200,1,0.08,"Faible"
"menages","electricite_freq",1200,330,27.5,"Alerte"
"menages","manque_nourriture",1200,1,0.08,"Faible"
"menages","manque_eau",1200,0,0,"OK"
"menages","manque_soins",1200,0,0,"OK"
"menages","manque_combustible",1200,0,0,"OK"
"menages","manque_revenus",1200,1,0.08,"Faible"
"menages","prive_manque_nourriture",1200,1,0.08,"Faible"
"menages","prive_manque_eau",1200,0,0,"OK"
"menages","prive_manque_soins",1200,0,0,"OK"
"menages","prive_manque_combustible",1200,0,0,"OK"
"menages","prive_manque_revenus",1200,1,0.08,"Faible"
"menages","indice_privation",1200,2,0.17,"Faible"
"menages","groupe_privation",1200,2,0.17,"Faible"
"menages","round_afrobarometer",1200,0,0,"OK"
"menages","annee_enquete",1200,0,0,"OK"
"menages","pays",1200,0,0,"OK"
