"id_individu","age","genre","niveau_etudes","langue_domicile","region","departement","milieu","commune","arrondismt","statut_emploi_principal","activite_principale","activite_secondaire","privation_revenus","activite_principale_isic_section","activite_principale_isic_libelle","activite_secondaire_isic_section","activite_secondaire_isic_libelle","radio","television","vehicule","ordinateur","telephone","internet","score_actifs","source_eau","assainissement","electricite_acces","electricite_freq","round_afrobarometer","annee_enquete","pays"
167956641,35,"Homme","Primaire incomplet",660,"Dakar",2,"Urbain",2,2,"Employé à temps partiel",6,NA,2,"O","O - Administration publique et défense",NA,NA,1,1,1,1,1,1,6,NA,1,"Oui",4,9,2022,"SEN"
167958752,25,"Homme",NA,663,"Dakar",2,"Urbain",2,2,"Inactif (ne cherche pas)",1,NA,3,NA,"Non applicable (étudiant)",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",2,"Oui",5,9,2022,"SEN"
167959423,40,"Femme","Primaire complet",661,"Dakar",3,"Urbain",3,17,"Employé à temps plein",4,NA,2,"G","G - Commerce; réparation d'automobiles",NA,NA,0,1,1,0,1,1,4,"Robinet dans la cour/concession",1,"Non",NA,9,2022,"SEN"
167960692,30,"Femme","Primaire incomplet",660,"Dakar",3,"Urbain",3,17,"Inactif (ne cherche pas)",7777,NA,1,NA,NA,NA,NA,0,1,1,1,1,1,5,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
167960693,34,"Homme",NA,660,"Dakar",3,"Urbain",3,17,"Employé à temps plein",11,NA,2,"G","G - Commerce; réparation d'automobiles",NA,NA,1,1,0,1,1,1,5,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
167961911,24,"Femme","Secondaire incomplet",660,"Dakar",1,"Urbain",10,32,"Inactif (ne cherche pas)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,1,1,1,1,1,1,6,"Robinet dans la cour/concession",1,"Oui",4,9,2022,"SEN"
167961912,25,"Homme","Enseignement informel/coranique",662,"Dakar",1,"Urbain",10,32,"Chômeur (cherche un emploi)",NA,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
167962081,40,"Homme","Primaire complet",660,"Dakar",1,"Urbain",10,32,"Employé à temps plein",NA,NA,3,NA,NA,NA,NA,0,1,0,0,1,1,3,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
167962082,38,"Femme","Enseignement informel/coranique",661,"Dakar",1,"Urbain",10,32,"Inactif (ne cherche pas)",7777,5,2,NA,NA,"C","C - Industrie manufacturière",0,1,0,0,1,0,2,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
167965851,45,"Femme",NA,662,"Dakar",2,"Urbain",2,2,"Inactif (ne cherche pas)",2,NA,3,NA,"Non applicable (femme au foyer)",NA,NA,0,1,0,1,1,1,4,"Robinet dans la maison",2,"Oui",5,9,2022,"SEN"
167966038,55,"Homme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,2,"Employé à temps partiel",10,NA,0,"T","T - Ménages en tant qu'employeurs",NA,NA,1,1,1,1,1,1,6,"Robinet dans la cour/concession",2,"Oui",5,9,2022,"SEN"
