"id_individu","rep_age","rep_genre","rep_niveau_etudes","rep_langue_domicile","region","departement","milieu","commune","arrondismt","source_eau","assainissement","electricite_acces","electricite_freq","manque_nourriture","manque_eau","manque_soins","manque_combustible","manque_revenus","prive_manque_nourriture","prive_manque_eau","prive_manque_soins","prive_manque_combustible","prive_manque_revenus","indice_privation","groupe_privation","round_afrobarometer","annee_enquete","pays","poids"
167956641,35,"Homme","Primaire incomplet",660,"Dakar",2,"Urbain",2,2,NA,1,"Oui",4,0,0,2,1,2,0,0,1,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
167958752,25,"Homme",NA,663,"Dakar",2,"Urbain",2,2,"Robinet dans la maison",2,"Oui",5,2,2,1,1,3,1,1,0,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167959423,40,"Femme","Primaire complet",661,"Dakar",3,"Urbain",3,17,"Robinet dans la cour/concession",1,"Non",NA,0,0,0,2,2,0,0,0,1,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
167960692,30,"Femme","Primaire incomplet",660,"Dakar",3,"Urbain",3,17,"Robinet dans la maison",1,"Oui",5,0,3,2,2,1,0,1,1,1,0,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167960693,34,"Homme",NA,660,"Dakar",3,"Urbain",3,17,"Robinet dans la maison",1,"Oui",5,2,2,2,2,2,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167961911,24,"Femme","Secondaire incomplet",660,"Dakar",1,"Urbain",10,32,"Robinet dans la cour/concession",1,"Oui",4,0,1,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
167961912,25,"Homme","Enseignement informel/coranique",662,"Dakar",1,"Urbain",10,32,"Robinet dans la maison",1,"Oui",4,0,2,2,0,2,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167962081,40,"Homme","Primaire complet",660,"Dakar",1,"Urbain",10,32,"Robinet dans la maison",1,"Oui",5,0,0,2,0,3,0,0,1,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
167962082,38,"Femme","Enseignement informel/coranique",661,"Dakar",1,"Urbain",10,32,"Robinet dans la maison",1,"Oui",2,3,2,2,2,2,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167965851,45,"Femme",NA,662,"Dakar",2,"Urbain",2,2,"Robinet dans la maison",2,"Oui",5,1,3,2,1,3,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167966038,55,"Homme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,2,"Robinet dans la cour/concession",2,"Oui",5,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
167966208,31,"Femme","Primaire incomplet",660,"Dakar",5,"Urbain",NA,29,"Robinet dans la cour/concession",1,"Oui",4,3,3,3,3,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167966209,65,"Homme","Primaire incomplet",660,"Dakar",5,"Urbain",NA,29,"Robinet dans la maison",1,"Oui",5,0,1,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
167968001,34,"Femme","Primaire incomplet",660,"Dakar",2,"Urbain",2,2,"Robinet dans la maison",1,"Oui",2,3,3,2,3,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167968549,51,"Homme","Primaire incomplet",660,"Dakar",5,"Urbain",NA,29,"Robinet dans la maison",1,"Oui",5,0,0,2,0,3,0,0,1,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
167968550,20,"Femme","Secondaire incomplet",660,"Dakar",5,"Urbain",NA,29,"Robinet dans la cour/concession",1,"Oui",4,0,2,2,2,4,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
167968689,36,"Femme","Secondaire incomplet",660,"Dakar",1,"Urbain",10,32,"Robinet dans la maison",1,"Oui",5,2,3,2,2,4,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167968690,22,"Homme",NA,660,"Dakar",1,"Urbain",10,32,"Robinet dans la maison",1,"Oui",5,2,2,3,3,4,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167968811,38,"Homme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",4,0,2,3,2,2,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
167968812,27,"Femme","Secondaire incomplet",665,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",5,0,3,2,0,2,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167968861,32,"Femme","Primaire complet",660,"Dakar",2,"Urbain",2,2,"Robinet dans la maison",1,"Oui",4,0,2,2,1,2,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167969426,39,"Homme","Aucun enseignement formel",660,"Dakar",3,"Urbain",3,17,"Fontaine publique",3,"Oui",2,2,3,0,0,2,1,1,0,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167969452,27,"Femme","Secondaire incomplet",662,"Dakar",2,"Urbain",2,2,"Robinet dans la cour/concession",1,"Oui",4,2,3,3,3,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167969943,31,"Femme",NA,660,"Dakar",3,"Urbain",3,17,"Robinet dans la maison",1,"Oui",5,0,2,2,2,3,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
167969944,37,"Homme","Primaire complet",661,"Dakar",3,"Urbain",3,17,"Robinet dans la maison",1,"Oui",4,2,3,3,3,4,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
167969956,28,"Femme","Secondaire complet",660,"Dakar",5,"Urbain",NA,29,"Robinet dans la maison",2,"Oui",2,0,1,3,3,2,0,0,1,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
167969958,55,"Homme","Enseignement informel/coranique",660,"Dakar",5,"Urbain",NA,29,"Robinet dans la maison",1,"Oui",2,3,0,3,2,3,1,0,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
167970496,30,"Femme","Primaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",2,2,4,2,3,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
